authorID,authorname
cd79d2c721345bbb5a410b2760d093b9850b8af6ff75a5706795bb0de5d9febc,Liz Cheney
c8eb4bc6bde19e9f98a2d53b290ebca4e532a99fe3ccc9a1dd33a87d14b72ced,Matthew Perry
dc7030804a8d910fe3136e593de48937b100f6c068e23b0afbdc09263a225af2,Mo Xiang
3c53ebdfbf35c3ee4928be2ad3843ea4c181951eba046d5d9b8743331dcf8168,James McBride
58b203e5ca18dcc3b6532a5834e8ca92b3b5f5662bdd3423620cd70892323808,Gege Akutami
2b21381dcca164b813534618ec773e8f6f96a6e2ba1cf090b0edb6dd4a61cb2e,Suzanne Collins
73f889fa728301c9e15a89a973622cb17b4ed95adcf8db0acd9633d0ddc4de08,Chanda Bell
3d458f12a8c8abf962b7da9556bd8b9b38667b234c38392c6bb64ba7ecad0f47,Sarah J. Maas
2f96fa94f100b38ebfbcfceca9f6bc795826c55c4931d25df80d44ea29e210e9,Paul Murray
af56dfe862a946347f833cb444322ad15c2a0877e1c95887b31f3b771be23eea,David Grann
827dcbb2040882aa6cf4fd3d029da8af1c751b0f1c0c501682a9eea4096bf990,Rebecca Yarros
1713b67081164bc48f6198fc2220d794f4ffbf0124c699278380f73cd6b11693,Anthony Doerr
2140a4752a6d324da565149001db45584c471956b1dcac21af354ea6100ad46c,Rick Riordan
453702eb1daf308abebbc1a2446658c6290557a1a20c15503ebaa18b3e217e36,Amanda Peters
7a09e7fbf513a3f70497b112658d99fec8d4d0a296dea9fe1206b7de0bcc5140,Christopher Paolini
0505406ef453e6d32eac41870e2005842a1d2038798c4f5d9c2475bb1911d144,Rebecca Ross
e93039e29a3572880d66199c7e6a283f7129dfe0bd7a3c2110356115a2ee476c,Carol V. Aebersold
3af27178ec206979a3f332c79698675a939a7a96348e6cd5971144cc3b8d7454,Lauren Roberts
a64a4895982f3ab42f0466a6a541c1f00b72e3c2525aa5c8d9fbf8db3a9a6fd3,Dav Pilkey
d14ab73f2e6af6ec370c7486f279537e0985b1f47944afcda01b5207674992b0,David Jeremiah
3ea7b3bcb4d79f743ae2c38ca583daecb33e551e86886d3571400dec0f32253a,Daniel Mason
792383cd1df9d1326d8ac1ce05859b08d7211e9438e28cb472e7a24bba6626a4,Leigh Bardugo
e143719d0b75379c77c75ec6cb49e9287621d495925b03b652ba7fd1fcccf75d,Stephen King
df78095cfd0dc4483adcdc2abd93ced5034b064cb7524526deac0a7af3ee620e,John Grisham
f6b6f43ec80e42390686028cbac7098826ad12296b349b527fd11cd40d375e05,Barbra Streisand
e822895a5f352e7d7367f78405d2bd9b50fd5d5738e9a90d784d4d2c5af9730c,Britney Spears
fe85da3620f1a94267082528ac25bc3f2f37627f296e56b69da63c11ba262d9d,A.L. White
7f96e3e3ca0c4d56954f2f674f49b6c01f9db4b8e8bcc8fec7cee5f781d83aab,Robert Kirkman
efa7d7d1069c6de99f06bf49f968fc83a12a88beae55113d3c34b1009bb936a9,Mo Willems
2d7cf40781e40f11807ce9fc69a89974700a75220262ed25be48601ca1b9e1b6,Ilyon Woo
a6a0758cda2fb1585f524a893413f0e7edd52828b741a40f81f0f3d2d7c7e9fe,Lynn Painter
5c15850edf095f6e863e92992a322bb48714505a44c7559d6bc9c899d92fd1b2,Rachel Maddow
66199f8dae8d0f016304c3e04e0eb55498d8cd15d5499406959017bcf64eecda,Katherine Quinn
b80bd450e9800c2c4e72b32e37049ef6491106ef782b1362105578ea0e8100f2,Bryan Lee O'Malley
f1bca420e6b950fec85bc603861685f44f376906d526e9946910bb5275c3d467,James Patterson
036a3168be58384f201d2ae8afdb4348cd7986f3fa3bc7cee3dab796b9f5c942,Jeff Kinney
35ac6f84d59c0a231f1e319ecef1b3f7048cdbcc83a0a371a4374645f7cca77b,Carissa Broadbent
179f57bc275c4507131605e5009bd2f5783dde36fa7ced5a501c58b4532bf83d,Jean Marzollo
686159d24c69e045635d3096af17b4a6905474a4653896c090839c718cf121b2,Mark Harmon
a14f5a7a2b07a3e8c2199e76a9cecedf4ce786fcd3bfd4e856caf263619d0698,Jennifer L. Armentrout
e7ab5d5225a41fef07189f99b77f735b198c868c48615b2e24956b18392b8bda,Charles T. Munger
35e82eff55cb395adca53d80c51cd1f7d23eee97c7d8bf7e891b336e3b331956,Alice Oseman
94bb6a860b65d7ca13f90873013b051921e63a254c347214adcc1ef17f75462a,Dev Petty
